gewest;provincie;arrondissement;nis-code;postcode;gemeente;leeftijdsgroep_(jaar);geslacht;aantal_verblijven
Vlaams Gewest;Antwerpen;Antwerpen;11029.0;2640.0;Mortsel; 0 – 14;Mannelijk;196
Vlaams Gewest;Antwerpen;Antwerpen;11029.0;2640.0;Mortsel; 0 – 14;Vrouwelijk;105
Vlaams Gewest;Antwerpen;Antwerpen;11029.0;2640.0;Mortsel;15 – 64;Mannelijk;1432
Vlaams Gewest;Antwerpen;Antwerpen;11029.0;2640.0;Mortsel;15 – 64;Vrouwelijk;2210
Vlaams Gewest;Antwerpen;Antwerpen;11029.0;2640.0;Mortsel;65 – ...;Mannelijk;1240
Vlaams Gewest;Antwerpen;Antwerpen;11029.0;2640.0;Mortsel;65 – ...;Vrouwelijk;1431
Vlaams Gewest;Antwerpen;Antwerpen;11030.0;2845.0;Niel; 0 – 14;Mannelijk;119
Vlaams Gewest;Antwerpen;Antwerpen;11030.0;2845.0;Niel; 0 – 14;Vrouwelijk;87
Vlaams Gewest;Antwerpen;Antwerpen;11030.0;2845.0;Niel;15 – 64;Mannelijk;811
Vlaams Gewest;Antwerpen;Antwerpen;11030.0;2845.0;Niel;15 – 64;Vrouwelijk;1003
Vlaams Gewest;Antwerpen;Antwerpen;11030.0;2845.0;Niel;65 – ...;Mannelijk;399
Vlaams Gewest;Antwerpen;Antwerpen;11030.0;2845.0;Niel;65 – ...;Vrouwelijk;458
Vlaams Gewest;Antwerpen;Antwerpen;11035.0;2520.0;Ranst; 0 – 14;Mannelijk;118
Vlaams Gewest;Antwerpen;Antwerpen;11035.0;2520.0;Ranst; 0 – 14;Vrouwelijk;104
Vlaams Gewest;Antwerpen;Antwerpen;11035.0;2520.0;Ranst;15 – 64;Mannelijk;1257
Vlaams Gewest;Antwerpen;Antwerpen;11035.0;2520.0;Ranst;15 – 64;Vrouwelijk;1833
Vlaams Gewest;Antwerpen;Antwerpen;11035.0;2520.0;Ranst;65 – ...;Mannelijk;858
Vlaams Gewest;Antwerpen;Antwerpen;11035.0;2520.0;Ranst;65 – ...;Vrouwelijk;836
Vlaams Gewest;Antwerpen;Antwerpen;11037.0;2840.0;Rumst; 0 – 14;Mannelijk;144
Vlaams Gewest;Antwerpen;Antwerpen;11037.0;2840.0;Rumst; 0 – 14;Vrouwelijk;94
Vlaams Gewest;Antwerpen;Antwerpen;11037.0;2840.0;Rumst;15 – 64;Mannelijk;1159
Vlaams Gewest;Antwerpen;Antwerpen;11037.0;2840.0;Rumst;15 – 64;Vrouwelijk;1411
Vlaams Gewest;Antwerpen;Antwerpen;11037.0;2840.0;Rumst;65 – ...;Mannelijk;636
Vlaams Gewest;Antwerpen;Antwerpen;11037.0;2840.0;Rumst;65 – ...;Vrouwelijk;693
Vlaams Gewest;Antwerpen;Antwerpen;11038.0;2627.0;Schelle; 0 – 14;Mannelijk;73
Vlaams Gewest;Antwerpen;Antwerpen;11038.0;2627.0;Schelle; 0 – 14;Vrouwelijk;57
Vlaams Gewest;Antwerpen;Antwerpen;11038.0;2627.0;Schelle;15 – 64;Mannelijk;587
Vlaams Gewest;Antwerpen;Antwerpen;11038.0;2627.0;Schelle;15 – 64;Vrouwelijk;1052
Vlaams Gewest;Antwerpen;Antwerpen;11038.0;2627.0;Schelle;65 – ...;Mannelijk;466
Vlaams Gewest;Antwerpen;Antwerpen;11038.0;2627.0;Schelle;65 – ...;Vrouwelijk;376
Vlaams Gewest;Antwerpen;Antwerpen;11039.0;2970.0;Schilde; 0 – 14;Mannelijk;187
Vlaams Gewest;Antwerpen;Antwerpen;11039.0;2970.0;Schilde; 0 – 14;Vrouwelijk;150
Vlaams Gewest;Antwerpen;Antwerpen;11039.0;2970.0;Schilde;15 – 64;Mannelijk;1379
Vlaams Gewest;Antwerpen;Antwerpen;11039.0;2970.0;Schilde;15 – 64;Vrouwelijk;1752
Vlaams Gewest;Antwerpen;Antwerpen;11039.0;2970.0;Schilde;65 – ...;Mannelijk;1344
Vlaams Gewest;Antwerpen;Antwerpen;11039.0;2970.0;Schilde;65 – ...;Vrouwelijk;1413
Vlaams Gewest;Antwerpen;Antwerpen;11040.0;2900.0;Schoten; 0 – 14;Mannelijk;301
Vlaams Gewest;Antwerpen;Antwerpen;11040.0;2900.0;Schoten; 0 – 14;Vrouwelijk;240
Vlaams Gewest;Antwerpen;Antwerpen;11040.0;2900.0;Schoten;15 – 64;Mannelijk;2414
Vlaams Gewest;Antwerpen;Antwerpen;11040.0;2900.0;Schoten;15 – 64;Vrouwelijk;3591
Vlaams Gewest;Antwerpen;Antwerpen;11040.0;2900.0;Schoten;65 – ...;Mannelijk;1751
Vlaams Gewest;Antwerpen;Antwerpen;11040.0;2900.0;Schoten;65 – ...;Vrouwelijk;1993
Vlaams Gewest;Antwerpen;Antwerpen;11044.0;2940.0;Stabroek; 0 – 14;Mannelijk;165
Vlaams Gewest;Antwerpen;Antwerpen;11044.0;2940.0;Stabroek; 0 – 14;Vrouwelijk;121
Vlaams Gewest;Antwerpen;Antwerpen;11044.0;2940.0;Stabroek;15 – 64;Mannelijk;1477
Vlaams Gewest;Antwerpen;Antwerpen;11044.0;2940.0;Stabroek;15 – 64;Vrouwelijk;2138
Vlaams Gewest;Antwerpen;Antwerpen;11044.0;2940.0;Stabroek;65 – ...;Mannelijk;730
Vlaams Gewest;Antwerpen;Antwerpen;11044.0;2940.0;Stabroek;65 – ...;Vrouwelijk;731
Vlaams Gewest;Antwerpen;Antwerpen;11050.0;2110.0;Wijnegem; 0 – 14;Mannelijk;66
Vlaams Gewest;Antwerpen;Antwerpen;11050.0;2110.0;Wijnegem; 0 – 14;Vrouwelijk;40
Vlaams Gewest;Antwerpen;Antwerpen;11050.0;2110.0;Wijnegem;15 – 64;Mannelijk;610
Vlaams Gewest;Antwerpen;Antwerpen;11050.0;2110.0;Wijnegem;15 – 64;Vrouwelijk;1005
Vlaams Gewest;Antwerpen;Antwerpen;11050.0;2110.0;Wijnegem;65 – ...;Mannelijk;478
Vlaams Gewest;Antwerpen;Antwerpen;11050.0;2110.0;Wijnegem;65 – ...;Vrouwelijk;403
Vlaams Gewest;Antwerpen;Antwerpen;11052.0;2160.0;Wommelgem; 0 – 14;Mannelijk;117
Vlaams Gewest;Antwerpen;Antwerpen;11052.0;2160.0;Wommelgem; 0 – 14;Vrouwelijk;76
Vlaams Gewest;Antwerpen;Antwerpen;11052.0;2160.0;Wommelgem;15 – 64;Mannelijk;966
Vlaams Gewest;Antwerpen;Antwerpen;11052.0;2160.0;Wommelgem;15 – 64;Vrouwelijk;1253
Vlaams Gewest;Antwerpen;Antwerpen;11052.0;2160.0;Wommelgem;65 – ...;Mannelijk;807
Vlaams Gewest;Antwerpen;Antwerpen;11052.0;2160.0;Wommelgem;65 – ...;Vrouwelijk;675
Vlaams Gewest;Antwerpen;Antwerpen;11053.0;2990.0;Wuustwezel; 0 – 14;Mannelijk;218
Vlaams Gewest;Antwerpen;Antwerpen;11053.0;2990.0;Wuustwezel; 0 – 14;Vrouwelijk;149
Vlaams Gewest;Antwerpen;Antwerpen;11053.0;2990.0;Wuustwezel;15 – 64;Mannelijk;1241
Vlaams Gewest;Antwerpen;Antwerpen;11053.0;2990.0;Wuustwezel;15 – 64;Vrouwelijk;1980
Vlaams Gewest;Antwerpen;Antwerpen;11053.0;2990.0;Wuustwezel;65 – ...;Mannelijk;633
Vlaams Gewest;Antwerpen;Antwerpen;11053.0;2990.0;Wuustwezel;65 – ...;Vrouwelijk;637
Vlaams Gewest;Antwerpen;Antwerpen;11054.0;2240.0;Zandhoven; 0 – 14;Mannelijk;92
Vlaams Gewest;Antwerpen;Antwerpen;11054.0;2240.0;Zandhoven; 0 – 14;Vrouwelijk;76
Vlaams Gewest;Antwerpen;Antwerpen;11054.0;2240.0;Zandhoven;15 – 64;Mannelijk;876
Vlaams Gewest;Antwerpen;Antwerpen;11054.0;2240.0;Zandhoven;15 – 64;Vrouwelijk;1437
Vlaams Gewest;Antwerpen;Antwerpen;11054.0;2240.0;Zandhoven;65 – ...;Mannelijk;384
Vlaams Gewest;Antwerpen;Antwerpen;11054.0;2240.0;Zandhoven;65 – ...;Vrouwelijk;660
Vlaams Gewest;Antwerpen;Antwerpen;11055.0;2980.0;Zoersel; 0 – 14;Mannelijk;160
Vlaams Gewest;Antwerpen;Antwerpen;11055.0;2980.0;Zoersel; 0 – 14;Vrouwelijk;191
Vlaams Gewest;Antwerpen;Antwerpen;11055.0;2980.0;Zoersel;15 – 64;Mannelijk;1393
Vlaams Gewest;Antwerpen;Antwerpen;11055.0;2980.0;Zoersel;15 – 64;Vrouwelijk;2273
Vlaams Gewest;Antwerpen;Antwerpen;11055.0;2980.0;Zoersel;65 – ...;Mannelijk;908
Vlaams Gewest;Antwerpen;Antwerpen;11055.0;2980.0;Zoersel;65 – ...;Vrouwelijk;1063
Vlaams Gewest;Antwerpen;Antwerpen;11056.0;2070.0;Zwijndrecht; 0 – 14;Mannelijk;137
Vlaams Gewest;Antwerpen;Antwerpen;11056.0;2070.0;Zwijndrecht; 0 – 14;Vrouwelijk;78
Vlaams Gewest;Antwerpen;Antwerpen;11056.0;2070.0;Zwijndrecht;15 – 64;Mannelijk;1381
Vlaams Gewest;Antwerpen;Antwerpen;11056.0;2070.0;Zwijndrecht;15 – 64;Vrouwelijk;2074
Vlaams Gewest;Antwerpen;Antwerpen;11056.0;2070.0;Zwijndrecht;65 – ...;Mannelijk;848
Vlaams Gewest;Antwerpen;Antwerpen;11056.0;2070.0;Zwijndrecht;65 – ...;Vrouwelijk;830
Vlaams Gewest;Antwerpen;Antwerpen;11057.0;2390.0;Malle; 0 – 14;Mannelijk;135
Vlaams Gewest;Antwerpen;Antwerpen;11057.0;2390.0;Malle; 0 – 14;Vrouwelijk;109
Vlaams Gewest;Antwerpen;Antwerpen;11057.0;2390.0;Malle;15 – 64;Mannelijk;1148
