gewest;provincie;arrondissement;nis-code;postcode;gemeente;leeftijdsgroep;geslacht;aantal_verblijven
Vlaams Gewest;Antwerpen;Antwerpen;11029;2640;Mortsel;Kinderen;Mannelijk;205
Vlaams Gewest;Antwerpen;Antwerpen;11029;2640;Mortsel;Kinderen;Vrouwelijk;115
Vlaams Gewest;Antwerpen;Antwerpen;11029;2640;Mortsel;Actieven;Mannelijk;1273
Vlaams Gewest;Antwerpen;Antwerpen;11029;2640;Mortsel;Actieven;Vrouwelijk;2192
Vlaams Gewest;Antwerpen;Antwerpen;11029;2640;Mortsel;Bejaarden;Mannelijk;1135
Vlaams Gewest;Antwerpen;Antwerpen;11029;2640;Mortsel;Bejaarden;Vrouwelijk;1313
Vlaams Gewest;Antwerpen;Antwerpen;11030;2845;Niel;Kinderen;Mannelijk;100
Vlaams Gewest;Antwerpen;Antwerpen;11030;2845;Niel;Kinderen;Vrouwelijk;89
Vlaams Gewest;Antwerpen;Antwerpen;11030;2845;Niel;Actieven;Mannelijk;769
Vlaams Gewest;Antwerpen;Antwerpen;11030;2845;Niel;Actieven;Vrouwelijk;1045
Vlaams Gewest;Antwerpen;Antwerpen;11030;2845;Niel;Bejaarden;Mannelijk;470
Vlaams Gewest;Antwerpen;Antwerpen;11030;2845;Niel;Bejaarden;Vrouwelijk;479
Vlaams Gewest;Antwerpen;Antwerpen;11035;2520;Ranst;Kinderen;Mannelijk;119
Vlaams Gewest;Antwerpen;Antwerpen;11035;2520;Ranst;Kinderen;Vrouwelijk;106
Vlaams Gewest;Antwerpen;Antwerpen;11035;2520;Ranst;Actieven;Mannelijk;1256
Vlaams Gewest;Antwerpen;Antwerpen;11035;2520;Ranst;Actieven;Vrouwelijk;1706
Vlaams Gewest;Antwerpen;Antwerpen;11035;2520;Ranst;Bejaarden;Mannelijk;767
Vlaams Gewest;Antwerpen;Antwerpen;11035;2520;Ranst;Bejaarden;Vrouwelijk;716
Vlaams Gewest;Antwerpen;Antwerpen;11037;2840;Rumst;Kinderen;Mannelijk;154
Vlaams Gewest;Antwerpen;Antwerpen;11037;2840;Rumst;Kinderen;Vrouwelijk;87
Vlaams Gewest;Antwerpen;Antwerpen;11037;2840;Rumst;Actieven;Mannelijk;1130
Vlaams Gewest;Antwerpen;Antwerpen;11037;2840;Rumst;Actieven;Vrouwelijk;1414
Vlaams Gewest;Antwerpen;Antwerpen;11037;2840;Rumst;Bejaarden;Mannelijk;650
Vlaams Gewest;Antwerpen;Antwerpen;11037;2840;Rumst;Bejaarden;Vrouwelijk;644
Vlaams Gewest;Antwerpen;Antwerpen;11038;2627;Schelle;Kinderen;Mannelijk;91
Vlaams Gewest;Antwerpen;Antwerpen;11038;2627;Schelle;Kinderen;Vrouwelijk;57
Vlaams Gewest;Antwerpen;Antwerpen;11038;2627;Schelle;Actieven;Mannelijk;595
Vlaams Gewest;Antwerpen;Antwerpen;11038;2627;Schelle;Actieven;Vrouwelijk;903
Vlaams Gewest;Antwerpen;Antwerpen;11038;2627;Schelle;Bejaarden;Mannelijk;448
Vlaams Gewest;Antwerpen;Antwerpen;11038;2627;Schelle;Bejaarden;Vrouwelijk;376
Vlaams Gewest;Antwerpen;Antwerpen;11039;2970;Schilde;Kinderen;Mannelijk;177
Vlaams Gewest;Antwerpen;Antwerpen;11039;2970;Schilde;Kinderen;Vrouwelijk;99
Vlaams Gewest;Antwerpen;Antwerpen;11039;2970;Schilde;Actieven;Mannelijk;1376
Vlaams Gewest;Antwerpen;Antwerpen;11039;2970;Schilde;Actieven;Vrouwelijk;1751
Vlaams Gewest;Antwerpen;Antwerpen;11039;2970;Schilde;Bejaarden;Mannelijk;1185
Vlaams Gewest;Antwerpen;Antwerpen;11039;2970;Schilde;Bejaarden;Vrouwelijk;1273
Vlaams Gewest;Antwerpen;Antwerpen;11040;2900;Schoten;Kinderen;Mannelijk;351
Vlaams Gewest;Antwerpen;Antwerpen;11040;2900;Schoten;Kinderen;Vrouwelijk;249
Vlaams Gewest;Antwerpen;Antwerpen;11040;2900;Schoten;Actieven;Mannelijk;2442
Vlaams Gewest;Antwerpen;Antwerpen;11040;2900;Schoten;Actieven;Vrouwelijk;3345
Vlaams Gewest;Antwerpen;Antwerpen;11040;2900;Schoten;Bejaarden;Mannelijk;1564
Vlaams Gewest;Antwerpen;Antwerpen;11040;2900;Schoten;Bejaarden;Vrouwelijk;1776
Vlaams Gewest;Antwerpen;Antwerpen;11044;2940;Stabroek;Kinderen;Mannelijk;157
Vlaams Gewest;Antwerpen;Antwerpen;11044;2940;Stabroek;Kinderen;Vrouwelijk;149
Vlaams Gewest;Antwerpen;Antwerpen;11044;2940;Stabroek;Actieven;Mannelijk;1193
Vlaams Gewest;Antwerpen;Antwerpen;11044;2940;Stabroek;Actieven;Vrouwelijk;2032
Vlaams Gewest;Antwerpen;Antwerpen;11044;2940;Stabroek;Bejaarden;Mannelijk;700
Vlaams Gewest;Antwerpen;Antwerpen;11044;2940;Stabroek;Bejaarden;Vrouwelijk;762
Vlaams Gewest;Antwerpen;Antwerpen;11050;2110;Wijnegem;Kinderen;Mannelijk;67
Vlaams Gewest;Antwerpen;Antwerpen;11050;2110;Wijnegem;Kinderen;Vrouwelijk;50
Vlaams Gewest;Antwerpen;Antwerpen;11050;2110;Wijnegem;Actieven;Mannelijk;518
Vlaams Gewest;Antwerpen;Antwerpen;11050;2110;Wijnegem;Actieven;Vrouwelijk;851
Vlaams Gewest;Antwerpen;Antwerpen;11050;2110;Wijnegem;Bejaarden;Mannelijk;478
Vlaams Gewest;Antwerpen;Antwerpen;11050;2110;Wijnegem;Bejaarden;Vrouwelijk;393
Vlaams Gewest;Antwerpen;Antwerpen;11052;2160;Wommelgem;Kinderen;Mannelijk;98
Vlaams Gewest;Antwerpen;Antwerpen;11052;2160;Wommelgem;Kinderen;Vrouwelijk;70
Vlaams Gewest;Antwerpen;Antwerpen;11052;2160;Wommelgem;Actieven;Mannelijk;929
Vlaams Gewest;Antwerpen;Antwerpen;11052;2160;Wommelgem;Actieven;Vrouwelijk;1318
Vlaams Gewest;Antwerpen;Antwerpen;11052;2160;Wommelgem;Bejaarden;Mannelijk;707
Vlaams Gewest;Antwerpen;Antwerpen;11052;2160;Wommelgem;Bejaarden;Vrouwelijk;660
Vlaams Gewest;Antwerpen;Antwerpen;11053;2990;Wuustwezel;Kinderen;Mannelijk;208
Vlaams Gewest;Antwerpen;Antwerpen;11053;2990;Wuustwezel;Kinderen;Vrouwelijk;145
Vlaams Gewest;Antwerpen;Antwerpen;11053;2990;Wuustwezel;Actieven;Mannelijk;1210
Vlaams Gewest;Antwerpen;Antwerpen;11053;2990;Wuustwezel;Actieven;Vrouwelijk;1708
Vlaams Gewest;Antwerpen;Antwerpen;11053;2990;Wuustwezel;Bejaarden;Mannelijk;544
Vlaams Gewest;Antwerpen;Antwerpen;11053;2990;Wuustwezel;Bejaarden;Vrouwelijk;620
Vlaams Gewest;Antwerpen;Antwerpen;11054;2240;Zandhoven;Kinderen;Mannelijk;90
Vlaams Gewest;Antwerpen;Antwerpen;11054;2240;Zandhoven;Kinderen;Vrouwelijk;73
Vlaams Gewest;Antwerpen;Antwerpen;11054;2240;Zandhoven;Actieven;Mannelijk;737
Vlaams Gewest;Antwerpen;Antwerpen;11054;2240;Zandhoven;Actieven;Vrouwelijk;1225
Vlaams Gewest;Antwerpen;Antwerpen;11054;2240;Zandhoven;Bejaarden;Mannelijk;546
Vlaams Gewest;Antwerpen;Antwerpen;11054;2240;Zandhoven;Bejaarden;Vrouwelijk;668
Vlaams Gewest;Antwerpen;Antwerpen;11055;2980;Zoersel;Kinderen;Mannelijk;181
Vlaams Gewest;Antwerpen;Antwerpen;11055;2980;Zoersel;Kinderen;Vrouwelijk;149
Vlaams Gewest;Antwerpen;Antwerpen;11055;2980;Zoersel;Actieven;Mannelijk;1432
Vlaams Gewest;Antwerpen;Antwerpen;11055;2980;Zoersel;Actieven;Vrouwelijk;2106
Vlaams Gewest;Antwerpen;Antwerpen;11055;2980;Zoersel;Bejaarden;Mannelijk;956
Vlaams Gewest;Antwerpen;Antwerpen;11055;2980;Zoersel;Bejaarden;Vrouwelijk;1137
Vlaams Gewest;Antwerpen;Antwerpen;11056;2070;Zwijndrecht;Kinderen;Mannelijk;177
Vlaams Gewest;Antwerpen;Antwerpen;11056;2070;Zwijndrecht;Kinderen;Vrouwelijk;104
Vlaams Gewest;Antwerpen;Antwerpen;11056;2070;Zwijndrecht;Actieven;Mannelijk;1324
Vlaams Gewest;Antwerpen;Antwerpen;11056;2070;Zwijndrecht;Actieven;Vrouwelijk;1845
Vlaams Gewest;Antwerpen;Antwerpen;11056;2070;Zwijndrecht;Bejaarden;Mannelijk;854
Vlaams Gewest;Antwerpen;Antwerpen;11056;2070;Zwijndrecht;Bejaarden;Vrouwelijk;916
Vlaams Gewest;Antwerpen;Antwerpen;11057;2390;Malle;Kinderen;Mannelijk;124
Vlaams Gewest;Antwerpen;Antwerpen;11057;2390;Malle;Kinderen;Vrouwelijk;114
Vlaams Gewest;Antwerpen;Antwerpen;11057;2390;Malle;Actieven;Mannelijk;1072
Vlaams Gewest;Antwerpen;Antwerpen;11057;2390;Malle;Actieven;Vrouwelijk;1401
Vlaams Gewest;Antwerpen;Antwerpen;11057;2390;Malle;Bejaarden;Mannelijk;578
Vlaams Gewest;Antwerpen;Antwerpen;11057;2390;Malle;Bejaarden;Vrouwelijk;819
Vlaams Gewest;Antwerpen;Mechelen;12002;2590;Berlaar;Kinderen;Mannelijk;93
Vlaams Gewest;Antwerpen;Mechelen;12002;2590;Berlaar;Kinderen;Vrouwelijk;48
Vlaams Gewest;Antwerpen;Mechelen;12002;2590;Berlaar;Actieven;Mannelijk;675
Vlaams Gewest;Antwerpen;Mechelen;12002;2590;Berlaar;Actieven;Vrouwelijk;1008
Vlaams Gewest;Antwerpen;Mechelen;12002;2590;Berlaar;Bejaarden;Mannelijk;514
Vlaams Gewest;Antwerpen;Mechelen;12002;2590;Berlaar;Bejaarden;Vrouwelijk;486
Vlaams Gewest;Antwerpen;Mechelen;12005;2820;Bonheiden;Kinderen;Mannelijk;94
Vlaams Gewest;Antwerpen;Mechelen;12005;2820;Bonheiden;Kinderen;Vrouwelijk;69
Vlaams Gewest;Antwerpen;Mechelen;12005;2820;Bonheiden;Actieven;Mannelijk;906
Vlaams Gewest;Antwerpen;Mechelen;12005;2820;Bonheiden;Actieven;Vrouwelijk;1273
Vlaams Gewest;Antwerpen;Mechelen;12005;2820;Bonheiden;Bejaarden;Mannelijk;865
Vlaams Gewest;Antwerpen;Mechelen;12005;2820;Bonheiden;Bejaarden;Vrouwelijk;1153
Vlaams Gewest;Antwerpen;Mechelen;12007;2880;Bornem;Kinderen;Mannelijk;196
Vlaams Gewest;Antwerpen;Mechelen;12007;2880;Bornem;Kinderen;Vrouwelijk;99
Vlaams Gewest;Antwerpen;Mechelen;12007;2880;Bornem;Actieven;Mannelijk;1487
Vlaams Gewest;Antwerpen;Mechelen;12007;2880;Bornem;Actieven;Vrouwelijk;2355
Vlaams Gewest;Antwerpen;Mechelen;12007;2880;Bornem;Bejaarden;Mannelijk;1084
Vlaams Gewest;Antwerpen;Mechelen;12007;2880;Bornem;Bejaarden;Vrouwelijk;1062
Vlaams Gewest;Antwerpen;Mechelen;12009;2570;Duffel;Kinderen;Mannelijk;159
Vlaams Gewest;Antwerpen;Mechelen;12009;2570;Duffel;Kinderen;Vrouwelijk;58
Vlaams Gewest;Antwerpen;Mechelen;12009;2570;Duffel;Actieven;Mannelijk;955
Vlaams Gewest;Antwerpen;Mechelen;12009;2570;Duffel;Actieven;Vrouwelijk;1996
Vlaams Gewest;Antwerpen;Mechelen;12009;2570;Duffel;Bejaarden;Mannelijk;555
Vlaams Gewest;Antwerpen;Mechelen;12009;2570;Duffel;Bejaarden;Vrouwelijk;852
Vlaams Gewest;Antwerpen;Mechelen;12014;2220;Heist-op-den-Berg;Kinderen;Mannelijk;351
Vlaams Gewest;Antwerpen;Mechelen;12014;2220;Heist-op-den-Berg;Kinderen;Vrouwelijk;182
Vlaams Gewest;Antwerpen;Mechelen;12014;2220;Heist-op-den-Berg;Actieven;Mannelijk;2502
Vlaams Gewest;Antwerpen;Mechelen;12014;2220;Heist-op-den-Berg;Actieven;Vrouwelijk;3507
Vlaams Gewest;Antwerpen;Mechelen;12014;2220;Heist-op-den-Berg;Bejaarden;Mannelijk;1476
Vlaams Gewest;Antwerpen;Mechelen;12014;2220;Heist-op-den-Berg;Bejaarden;Vrouwelijk;1901
Vlaams Gewest;Antwerpen;Mechelen;12021;2500;Lier;Kinderen;Mannelijk;323
Vlaams Gewest;Antwerpen;Mechelen;12021;2500;Lier;Kinderen;Vrouwelijk;161
Vlaams Gewest;Antwerpen;Mechelen;12021;2500;Lier;Actieven;Mannelijk;1911
Vlaams Gewest;Antwerpen;Mechelen;12021;2500;Lier;Actieven;Vrouwelijk;3190
Vlaams Gewest;Antwerpen;Mechelen;12021;2500;Lier;Bejaarden;Mannelijk;1615
Vlaams Gewest;Antwerpen;Mechelen;12021;2500;Lier;Bejaarden;Vrouwelijk;1558
Vlaams Gewest;Antwerpen;Mechelen;12025;2800;Mechelen;Kinderen;Mannelijk;1003
Vlaams Gewest;Antwerpen;Mechelen;12025;2800;Mechelen;Kinderen;Vrouwelijk;538
Vlaams Gewest;Antwerpen;Mechelen;12025;2800;Mechelen;Actieven;Mannelijk;4709
Vlaams Gewest;Antwerpen;Mechelen;12025;2800;Mechelen;Actieven;Vrouwelijk;8145
Vlaams Gewest;Antwerpen;Mechelen;12025;2800;Mechelen;Bejaarden;Mannelijk;2689
Vlaams Gewest;Antwerpen;Mechelen;12025;2800;Mechelen;Bejaarden;Vrouwelijk;3612
Vlaams Gewest;Antwerpen;Mechelen;12026;2560;Nijlen;Kinderen;Mannelijk;212
Vlaams Gewest;Antwerpen;Mechelen;12026;2560;Nijlen;Kinderen;Vrouwelijk;118
Vlaams Gewest;Antwerpen;Mechelen;12026;2560;Nijlen;Actieven;Mannelijk;1290
Vlaams Gewest;Antwerpen;Mechelen;12026;2560;Nijlen;Actieven;Vrouwelijk;2165
Vlaams Gewest;Antwerpen;Mechelen;12026;2560;Nijlen;Bejaarden;Mannelijk;819
Vlaams Gewest;Antwerpen;Mechelen;12026;2560;Nijlen;Bejaarden;Vrouwelijk;866
Vlaams Gewest;Antwerpen;Mechelen;12029;2580;Putte;Kinderen;Mannelijk;131
Vlaams Gewest;Antwerpen;Mechelen;12029;2580;Putte;Kinderen;Vrouwelijk;75
Vlaams Gewest;Antwerpen;Mechelen;12029;2580;Putte;Actieven;Mannelijk;944
Vlaams Gewest;Antwerpen;Mechelen;12029;2580;Putte;Actieven;Vrouwelijk;1498
Vlaams Gewest;Antwerpen;Mechelen;12029;2580;Putte;Bejaarden;Mannelijk;729
Vlaams Gewest;Antwerpen;Mechelen;12029;2580;Putte;Bejaarden;Vrouwelijk;763
Vlaams Gewest;Antwerpen;Mechelen;12030;2870;Puurs;Kinderen;Mannelijk;135
Vlaams Gewest;Antwerpen;Mechelen;12030;2870;Puurs;Kinderen;Vrouwelijk;84
Vlaams Gewest;Antwerpen;Mechelen;12030;2870;Puurs;Actieven;Mannelijk;1147
Vlaams Gewest;Antwerpen;Mechelen;12030;2870;Puurs;Actieven;Vrouwelijk;1408
Vlaams Gewest;Antwerpen;Mechelen;12030;2870;Puurs;Bejaarden;Mannelijk;754
Vlaams Gewest;Antwerpen;Mechelen;12030;2870;Puurs;Bejaarden;Vrouwelijk;806
Vlaams Gewest;Antwerpen;Mechelen;12034;2890;Sint-Amands;Kinderen;Mannelijk;100
Vlaams Gewest;Antwerpen;Mechelen;12034;2890;Sint-Amands;Kinderen;Vrouwelijk;56
Vlaams Gewest;Antwerpen;Mechelen;12034;2890;Sint-Amands;Actieven;Mannelijk;547
Vlaams Gewest;Antwerpen;Mechelen;12034;2890;Sint-Amands;Actieven;Vrouwelijk;834
Vlaams Gewest;Antwerpen;Mechelen;12034;2890;Sint-Amands;Bejaarden;Mannelijk;385
Vlaams Gewest;Antwerpen;Mechelen;12034;2890;Sint-Amands;Bejaarden;Vrouwelijk;372
Vlaams Gewest;Antwerpen;Mechelen;12035;2860;Sint-Katelijne-Waver;Kinderen;Mannelijk;165
Vlaams Gewest;Antwerpen;Mechelen;12035;2860;Sint-Katelijne-Waver;Kinderen;Vrouwelijk;120
