gewest;provincie_of_brussels_hoofdstedelijk_gewest;arrondissement;nis_code;postcode;gemeente;leeftijdsgroep;geslacht;klassieke_hospita-_lisatie
Vlaams Gewest;Antwerpen;Antwerpen;11025;2547;Lint;15 - 64;Mannelijk;183
Vlaams Gewest;Antwerpen;Antwerpen;11025;2547;Lint;15 - 64;Vrouwelijk;284
Vlaams Gewest;Antwerpen;Antwerpen;11025;2547;Lint;65 - ...;Mannelijk;238
Vlaams Gewest;Antwerpen;Antwerpen;11025;2547;Lint;65 - ...;Vrouwelijk;215
Vlaams Gewest;Antwerpen;Antwerpen;11029;2640;Mortsel;0 - 14;Mannelijk;142
Vlaams Gewest;Antwerpen;Antwerpen;11029;2640;Mortsel;0 - 14;Vrouwelijk;98
Vlaams Gewest;Antwerpen;Antwerpen;11029;2640;Mortsel;15 - 64;Mannelijk;618
Vlaams Gewest;Antwerpen;Antwerpen;11029;2640;Mortsel;15 - 64;Vrouwelijk;884
Vlaams Gewest;Antwerpen;Antwerpen;11029;2640;Mortsel;65 - ...;Mannelijk;653
Vlaams Gewest;Antwerpen;Antwerpen;11029;2640;Mortsel;65 - ...;Vrouwelijk;774
Vlaams Gewest;Antwerpen;Antwerpen;11030;2845;Niel;0 - 14;Mannelijk;62
Vlaams Gewest;Antwerpen;Antwerpen;11030;2845;Niel;0 - 14;Vrouwelijk;55
Vlaams Gewest;Antwerpen;Antwerpen;11030;2845;Niel;15 - 64;Mannelijk;237
Vlaams Gewest;Antwerpen;Antwerpen;11030;2845;Niel;15 - 64;Vrouwelijk;429
Vlaams Gewest;Antwerpen;Antwerpen;11030;2845;Niel;65 - ...;Mannelijk;280
Vlaams Gewest;Antwerpen;Antwerpen;11030;2845;Niel;65 - ...;Vrouwelijk;249
Vlaams Gewest;Antwerpen;Antwerpen;11035;2520;Ranst;0 - 14;Mannelijk;122
Vlaams Gewest;Antwerpen;Antwerpen;11035;2520;Ranst;0 - 14;Vrouwelijk;88
Vlaams Gewest;Antwerpen;Antwerpen;11035;2520;Ranst;15 - 64;Mannelijk;452
