région;province;arrondissement;code_ins;code_postal;commune;classe_d_âge;sexe;nombre_de_séjours
Région flamande;Anvers;Anvers;11055;2980;Zoersel;0 - 14;Masculin;149
Région flamande;Anvers;Anvers;11055;2980;Zoersel;0 - 14;Féminin;122
Région flamande;Anvers;Anvers;11055;2980;Zoersel;15 - 64;Masculin;1438
Région flamande;Anvers;Anvers;11055;2980;Zoersel;15 - 64;Féminin;2568
Région flamande;Anvers;Anvers;11055;2980;Zoersel;65 - ...;Masculin;1453
Région flamande;Anvers;Anvers;11055;2980;Zoersel;65 - ...;Féminin;1311
Région flamande;Anvers;Anvers;11056;2070;Zwijndrecht;0 - 14;Masculin;172
Région flamande;Anvers;Anvers;11056;2070;Zwijndrecht;0 - 14;Féminin;95
Région flamande;Anvers;Anvers;11056;2070;Zwijndrecht;15 - 64;Masculin;1412
Région flamande;Anvers;Anvers;11056;2070;Zwijndrecht;15 - 64;Féminin;2169
Région flamande;Anvers;Anvers;11056;2070;Zwijndrecht;65 - ...;Masculin;1114
Région flamande;Anvers;Anvers;11056;2070;Zwijndrecht;65 - ...;Féminin;961
Région flamande;Anvers;Anvers;11057;2390;Malle;0 - 14;Masculin;126
Région flamande;Anvers;Anvers;11057;2390;Malle;0 - 14;Féminin;169
Région flamande;Anvers;Anvers;11057;2390;Malle;15 - 64;Masculin;1091
Région flamande;Anvers;Anvers;11057;2390;Malle;15 - 64;Féminin;1794
Région flamande;Anvers;Anvers;11057;2390;Malle;65 - ...;Masculin;754
Région flamande;Anvers;Anvers;11057;2390;Malle;65 - ...;Féminin;771
Région flamande;Anvers;Malines;12002;2590;Berlaar;0 - 14;Masculin;77
Région flamande;Anvers;Malines;12002;2590;Berlaar;0 - 14;Féminin;61
Région flamande;Anvers;Malines;12002;2590;Berlaar;15 - 64;Masculin;715
Région flamande;Anvers;Malines;12002;2590;Berlaar;15 - 64;Féminin;1325
Région flamande;Anvers;Malines;12002;2590;Berlaar;65 - ...;Masculin;530
Région flamande;Anvers;Malines;12002;2590;Berlaar;65 - ...;Féminin;668
Région flamande;Anvers;Malines;12005;2820;Bonheiden;0 - 14;Masculin;152
Région flamande;Anvers;Malines;12005;2820;Bonheiden;0 - 14;Féminin;80
Région flamande;Anvers;Malines;12005;2820;Bonheiden;15 - 64;Masculin;915
Région flamande;Anvers;Malines;12005;2820;Bonheiden;15 - 64;Féminin;1419
Région flamande;Anvers;Malines;12005;2820;Bonheiden;65 - ...;Masculin;993
Région flamande;Anvers;Malines;12005;2820;Bonheiden;65 - ...;Féminin;1029
Région flamande;Anvers;Malines;12007;2880;Bornem;0 - 14;Masculin;171
Région flamande;Anvers;Malines;12007;2880;Bornem;0 - 14;Féminin;102
Région flamande;Anvers;Malines;12007;2880;Bornem;15 - 64;Masculin;1659
Région flamande;Anvers;Malines;12007;2880;Bornem;15 - 64;Féminin;2608
Région flamande;Anvers;Malines;12007;2880;Bornem;65 - ...;Masculin;1178
Région flamande;Anvers;Malines;12007;2880;Bornem;65 - ...;Féminin;1523
Région flamande;Anvers;Malines;12009;2570;Duffel;0 - 14;Masculin;156
Région flamande;Anvers;Malines;12009;2570;Duffel;0 - 14;Féminin;100
Région flamande;Anvers;Malines;12009;2570;Duffel;15 - 64;Masculin;1245
Région flamande;Anvers;Malines;12009;2570;Duffel;15 - 64;Féminin;2046
Région flamande;Anvers;Malines;12009;2570;Duffel;65 - ...;Masculin;1000
Région flamande;Anvers;Malines;12009;2570;Duffel;65 - ...;Féminin;1250
Région flamande;Anvers;Malines;12014;2220;Heist-op-den-Berg;0 - 14;Masculin;310
Région flamande;Anvers;Malines;12014;2220;Heist-op-den-Berg;0 - 14;Féminin;268
Région flamande;Anvers;Malines;12014;2220;Heist-op-den-Berg;15 - 64;Masculin;2741
Région flamande;Anvers;Malines;12014;2220;Heist-op-den-Berg;15 - 64;Féminin;4316
Région flamande;Anvers;Malines;12014;2220;Heist-op-den-Berg;65 - ...;Masculin;2007
Région flamande;Anvers;Malines;12014;2220;Heist-op-den-Berg;65 - ...;Féminin;1899
Région flamande;Anvers;Malines;12021;2500;Lierre;0 - 14;Masculin;306
Région flamande;Anvers;Malines;12021;2500;Lierre;0 - 14;Féminin;165
Région flamande;Anvers;Malines;12021;2500;Lierre;15 - 64;Masculin;2269
Région flamande;Anvers;Malines;12021;2500;Lierre;15 - 64;Féminin;4614
Région flamande;Anvers;Malines;12021;2500;Lierre;65 - ...;Masculin;1836
Région flamande;Anvers;Malines;12021;2500;Lierre;65 - ...;Féminin;1925
Région flamande;Anvers;Malines;12025;2800;Malines;0 - 14;Masculin;943
Région flamande;Anvers;Malines;12025;2800;Malines;0 - 14;Féminin;691
Région flamande;Anvers;Malines;12025;2800;Malines;15 - 64;Masculin;5055
Région flamande;Anvers;Malines;12025;2800;Malines;15 - 64;Féminin;8758
Région flamande;Anvers;Malines;12025;2800;Malines;65 - ...;Masculin;3431
Région flamande;Anvers;Malines;12025;2800;Malines;65 - ...;Féminin;4284
Région flamande;Anvers;Malines;12026;2560;Nijlen;0 - 14;Masculin;183
Région flamande;Anvers;Malines;12026;2560;Nijlen;0 - 14;Féminin;146
Région flamande;Anvers;Malines;12026;2560;Nijlen;15 - 64;Masculin;1555
Région flamande;Anvers;Malines;12026;2560;Nijlen;15 - 64;Féminin;2741
Région flamande;Anvers;Malines;12026;2560;Nijlen;65 - ...;Masculin;1404
