région;province;arrondissement;code_ins;code_postal;commune;classe_d_âge;sexe;hospitalisation_classique
Région flamande;Anvers;Anvers;11013;2650;Edegem;15 - 64;Masculin;507
Région flamande;Anvers;Anvers;11013;2650;Edegem;15 - 64;Féminin;817
Région flamande;Anvers;Anvers;11013;2650;Edegem;15 - 64;Changé;< 5
Région flamande;Anvers;Anvers;11013;2650;Edegem;65 - ...;Indéfinissable;0
Région flamande;Anvers;Anvers;11013;2650;Edegem;65 - ...;Masculin;714
Région flamande;Anvers;Anvers;11013;2650;Edegem;65 - ...;Féminin;863
Région flamande;Anvers;Anvers;11013;2650;Edegem;65 - ...;Changé;0
Région flamande;Anvers;Anvers;11016;2910;Essen;0 - 14;Indéfinissable;0
Région flamande;Anvers;Anvers;11016;2910;Essen;0 - 14;Masculin;94
Région flamande;Anvers;Anvers;11016;2910;Essen;0 - 14;Féminin;77
Région flamande;Anvers;Anvers;11016;2910;Essen;0 - 14;Changé;0
Région flamande;Anvers;Anvers;11016;2910;Essen;15 - 64;Indéfinissable;0
Région flamande;Anvers;Anvers;11016;2910;Essen;15 - 64;Masculin;560
Région flamande;Anvers;Anvers;11016;2910;Essen;15 - 64;Féminin;687
Région flamande;Anvers;Anvers;11016;2910;Essen;15 - 64;Changé;< 5
Région flamande;Anvers;Anvers;11016;2910;Essen;65 - ...;Indéfinissable;0
Région flamande;Anvers;Anvers;11016;2910;Essen;65 - ...;Masculin;532
Région flamande;Anvers;Anvers;11016;2910;Essen;65 - ...;Féminin;489
Région flamande;Anvers;Anvers;11016;2910;Essen;65 - ...;Changé;0
Région flamande;Anvers;Anvers;11018;2620;Hemiksem;0 - 14;Indéfinissable;0
Région flamande;Anvers;Anvers;11018;2620;Hemiksem;0 - 14;Masculin;84
Région flamande;Anvers;Anvers;11018;2620;Hemiksem;0 - 14;Féminin;63
Région flamande;Anvers;Anvers;11018;2620;Hemiksem;0 - 14;Changé;0
Région flamande;Anvers;Anvers;11018;2620;Hemiksem;15 - 64;Indéfinissable;0
Région flamande;Anvers;Anvers;11018;2620;Hemiksem;15 - 64;Masculin;320
Région flamande;Anvers;Anvers;11018;2620;Hemiksem;15 - 64;Féminin;531
Région flamande;Anvers;Anvers;11018;2620;Hemiksem;15 - 64;Changé;0
Région flamande;Anvers;Anvers;11018;2620;Hemiksem;65 - ...;Indéfinissable;0
Région flamande;Anvers;Anvers;11018;2620;Hemiksem;65 - ...;Masculin;312
Région flamande;Anvers;Anvers;11018;2620;Hemiksem;65 - ...;Féminin;288
Région flamande;Anvers;Anvers;11018;2620;Hemiksem;65 - ...;Changé;0
Région flamande;Anvers;Anvers;11021;2540;Hove;0 - 14;Indéfinissable;0
Région flamande;Anvers;Anvers;11021;2540;Hove;0 - 14;Masculin;29
Région flamande;Anvers;Anvers;11021;2540;Hove;0 - 14;Féminin;23
Région flamande;Anvers;Anvers;11021;2540;Hove;0 - 14;Changé;0
Région flamande;Anvers;Anvers;11021;2540;Hove;15 - 64;Indéfinissable;0
Région flamande;Anvers;Anvers;11021;2540;Hove;15 - 64;Masculin;173
Région flamande;Anvers;Anvers;11021;2540;Hove;15 - 64;Féminin;273
