gewest;provincie;arrondissement;nis_code;postcode;gemeente;leeftijdsgroep;geslacht;daghospitalisatie
Vlaams Gewest;Antwerpen;Antwerpen;11025;2547;Lint;15 - 64;Vrouwelijk;1 025
Vlaams Gewest;Antwerpen;Antwerpen;11025;2547;Lint;15 - 64;Veranderd;0
Vlaams Gewest;Antwerpen;Antwerpen;11025;2547;Lint;65 - ...;Onbepaalbaar;0
Vlaams Gewest;Antwerpen;Antwerpen;11025;2547;Lint;65 - ...;Mannelijk;559
Vlaams Gewest;Antwerpen;Antwerpen;11025;2547;Lint;65 - ...;Vrouwelijk;549
Vlaams Gewest;Antwerpen;Antwerpen;11025;2547;Lint;65 - ...;Veranderd;0
Vlaams Gewest;Antwerpen;Antwerpen;11029;2640;Mortsel;0 - 14;Onbepaalbaar;0
Vlaams Gewest;Antwerpen;Antwerpen;11029;2640;Mortsel;0 - 14;Mannelijk;256
Vlaams Gewest;Antwerpen;Antwerpen;11029;2640;Mortsel;0 - 14;Vrouwelijk;126
Vlaams Gewest;Antwerpen;Antwerpen;11029;2640;Mortsel;0 - 14;Veranderd;0
Vlaams Gewest;Antwerpen;Antwerpen;11029;2640;Mortsel;15 - 64;Onbepaalbaar;0
Vlaams Gewest;Antwerpen;Antwerpen;11029;2640;Mortsel;15 - 64;Mannelijk;1 765
Vlaams Gewest;Antwerpen;Antwerpen;11029;2640;Mortsel;15 - 64;Vrouwelijk;2 507
Vlaams Gewest;Antwerpen;Antwerpen;11029;2640;Mortsel;15 - 64;Veranderd;0
Vlaams Gewest;Antwerpen;Antwerpen;11029;2640;Mortsel;65 - ...;Onbepaalbaar;0
Vlaams Gewest;Antwerpen;Antwerpen;11029;2640;Mortsel;65 - ...;Mannelijk;1 559
Vlaams Gewest;Antwerpen;Antwerpen;11029;2640;Mortsel;65 - ...;Vrouwelijk;1 713
Vlaams Gewest;Antwerpen;Antwerpen;11029;2640;Mortsel;65 - ...;Veranderd;0
Vlaams Gewest;Antwerpen;Antwerpen;11030;2845;Niel;0 - 14;Onbepaalbaar;0
Vlaams Gewest;Antwerpen;Antwerpen;11030;2845;Niel;0 - 14;Mannelijk;105
Vlaams Gewest;Antwerpen;Antwerpen;11030;2845;Niel;0 - 14;Vrouwelijk;101
Vlaams Gewest;Antwerpen;Antwerpen;11030;2845;Niel;0 - 14;Veranderd;0
Vlaams Gewest;Antwerpen;Antwerpen;11030;2845;Niel;15 - 64;Onbepaalbaar;0
Vlaams Gewest;Antwerpen;Antwerpen;11030;2845;Niel;15 - 64;Mannelijk;904
Vlaams Gewest;Antwerpen;Antwerpen;11030;2845;Niel;15 - 64;Vrouwelijk;1 184
Vlaams Gewest;Antwerpen;Antwerpen;11030;2845;Niel;15 - 64;Veranderd;0
Vlaams Gewest;Antwerpen;Antwerpen;11030;2845;Niel;65 - ...;Onbepaalbaar;0
Vlaams Gewest;Antwerpen;Antwerpen;11030;2845;Niel;65 - ...;Mannelijk;608
Vlaams Gewest;Antwerpen;Antwerpen;11030;2845;Niel;65 - ...;Vrouwelijk;592
Vlaams Gewest;Antwerpen;Antwerpen;11030;2845;Niel;65 - ...;Veranderd;0
Vlaams Gewest;Antwerpen;Antwerpen;11035;2520;Ranst;0 - 14;Onbepaalbaar;0
Vlaams Gewest;Antwerpen;Antwerpen;11035;2520;Ranst;0 - 14;Mannelijk;153
Vlaams Gewest;Antwerpen;Antwerpen;11035;2520;Ranst;0 - 14;Vrouwelijk;70
Vlaams Gewest;Antwerpen;Antwerpen;11035;2520;Ranst;0 - 14;Veranderd;0
Vlaams Gewest;Antwerpen;Antwerpen;11035;2520;Ranst;15 - 64;Onbepaalbaar;0
Vlaams Gewest;Antwerpen;Antwerpen;11035;2520;Ranst;15 - 64;Mannelijk;1 482
Vlaams Gewest;Antwerpen;Antwerpen;11035;2520;Ranst;15 - 64;Vrouwelijk;2 191
Vlaams Gewest;Antwerpen;Antwerpen;11035;2520;Ranst;15 - 64;Veranderd;0
Vlaams Gewest;Antwerpen;Antwerpen;11035;2520;Ranst;65 - ...;Onbepaalbaar;0
Vlaams Gewest;Antwerpen;Antwerpen;11035;2520;Ranst;65 - ...;Mannelijk;1 496
Vlaams Gewest;Antwerpen;Antwerpen;11035;2520;Ranst;65 - ...;Vrouwelijk;1 361
Vlaams Gewest;Antwerpen;Antwerpen;11035;2520;Ranst;65 - ...;Veranderd;0
Vlaams Gewest;Antwerpen;Antwerpen;11037;2840;Rumst;0 - 14;Onbepaalbaar;0
Vlaams Gewest;Antwerpen;Antwerpen;11037;2840;Rumst;0 - 14;Mannelijk;112
Vlaams Gewest;Antwerpen;Antwerpen;11037;2840;Rumst;0 - 14;Vrouwelijk;83
Vlaams Gewest;Antwerpen;Antwerpen;11037;2840;Rumst;0 - 14;Veranderd;0
Vlaams Gewest;Antwerpen;Antwerpen;11037;2840;Rumst;15 - 64;Onbepaalbaar;0
Vlaams Gewest;Antwerpen;Antwerpen;11037;2840;Rumst;15 - 64;Mannelijk;1 159
Vlaams Gewest;Antwerpen;Antwerpen;11037;2840;Rumst;15 - 64;Vrouwelijk;1 632
Vlaams Gewest;Antwerpen;Antwerpen;11037;2840;Rumst;15 - 64;Veranderd;0
Vlaams Gewest;Antwerpen;Antwerpen;11037;2840;Rumst;65 - ...;Onbepaalbaar;0
Vlaams Gewest;Antwerpen;Antwerpen;11037;2840;Rumst;65 - ...;Mannelijk;1 022
Vlaams Gewest;Antwerpen;Antwerpen;11037;2840;Rumst;65 - ...;Vrouwelijk;980
Vlaams Gewest;Antwerpen;Antwerpen;11037;2840;Rumst;65 - ...;Veranderd;0
Vlaams Gewest;Antwerpen;Antwerpen;11038;2627;Schelle;0 - 14;Onbepaalbaar;0
Vlaams Gewest;Antwerpen;Antwerpen;11038;2627;Schelle;0 - 14;Mannelijk;75
Vlaams Gewest;Antwerpen;Antwerpen;11038;2627;Schelle;0 - 14;Vrouwelijk;54
Vlaams Gewest;Antwerpen;Antwerpen;11038;2627;Schelle;0 - 14;Veranderd;0
Vlaams Gewest;Antwerpen;Antwerpen;11038;2627;Schelle;15 - 64;Onbepaalbaar;0
Vlaams Gewest;Antwerpen;Antwerpen;11038;2627;Schelle;15 - 64;Mannelijk;724
Vlaams Gewest;Antwerpen;Antwerpen;11038;2627;Schelle;15 - 64;Vrouwelijk;1 147
Vlaams Gewest;Antwerpen;Antwerpen;11038;2627;Schelle;15 - 64;Veranderd;0
Vlaams Gewest;Antwerpen;Antwerpen;11038;2627;Schelle;65 - ...;Onbepaalbaar;0
Vlaams Gewest;Antwerpen;Antwerpen;11038;2627;Schelle;65 - ...;Mannelijk;615
Vlaams Gewest;Antwerpen;Antwerpen;11038;2627;Schelle;65 - ...;Vrouwelijk;692
Vlaams Gewest;Antwerpen;Antwerpen;11038;2627;Schelle;65 - ...;Veranderd;0
Vlaams Gewest;Antwerpen;Antwerpen;11039;2970;Schilde;0 - 14;Onbepaalbaar;0
Vlaams Gewest;Antwerpen;Antwerpen;11039;2970;Schilde;0 - 14;Mannelijk;129
Vlaams Gewest;Antwerpen;Antwerpen;11039;2970;Schilde;0 - 14;Vrouwelijk;79
Vlaams Gewest;Antwerpen;Antwerpen;11039;2970;Schilde;0 - 14;Veranderd;0
Vlaams Gewest;Antwerpen;Antwerpen;11039;2970;Schilde;15 - 64;Onbepaalbaar;0
Vlaams Gewest;Antwerpen;Antwerpen;11039;2970;Schilde;15 - 64;Mannelijk;1 367
Vlaams Gewest;Antwerpen;Antwerpen;11039;2970;Schilde;15 - 64;Vrouwelijk;1 848
Vlaams Gewest;Antwerpen;Antwerpen;11039;2970;Schilde;15 - 64;Veranderd;< 5
Vlaams Gewest;Antwerpen;Antwerpen;11039;2970;Schilde;65 - ...;Onbepaalbaar;0
Vlaams Gewest;Antwerpen;Antwerpen;11039;2970;Schilde;65 - ...;Mannelijk;1 708
Vlaams Gewest;Antwerpen;Antwerpen;11039;2970;Schilde;65 - ...;Vrouwelijk;1 380
Vlaams Gewest;Antwerpen;Antwerpen;11039;2970;Schilde;65 - ...;Veranderd;0
Vlaams Gewest;Antwerpen;Antwerpen;11040;2900;Schoten;0 - 14;Onbepaalbaar;0
Vlaams Gewest;Antwerpen;Antwerpen;11040;2900;Schoten;0 - 14;Mannelijk;270
