région;province;arrondissement;code_ins;code_postal;commune;classe_d_âge_(ans);sexe;nombre_de_séjours
Région flamande;Anvers;Anvers;11040.0;2900.0;Schoten;15 – 64;Masculin;992
Région flamande;Anvers;Anvers;11040.0;2900.0;Schoten;15 – 64;Féminin;1518
Région flamande;Anvers;Anvers;11040.0;2900.0;Schoten;65 – ...;Masculin;1091
Région flamande;Anvers;Anvers;11040.0;2900.0;Schoten;65 – ...;Féminin;1226
Région flamande;Anvers;Anvers;11044.0;2940.0;Stabroek; 0 – 14;Masculin;107
Région flamande;Anvers;Anvers;11044.0;2940.0;Stabroek; 0 – 14;Féminin;116
Région flamande;Anvers;Anvers;11044.0;2940.0;Stabroek;15 – 64;Masculin;643
Région flamande;Anvers;Anvers;11044.0;2940.0;Stabroek;15 – 64;Féminin;866
Région flamande;Anvers;Anvers;11044.0;2940.0;Stabroek;65 – ...;Masculin;515
Région flamande;Anvers;Anvers;11044.0;2940.0;Stabroek;65 – ...;Féminin;487
Région flamande;Anvers;Anvers;11050.0;2110.0;Wijnegem; 0 – 14;Masculin;81
Région flamande;Anvers;Anvers;11050.0;2110.0;Wijnegem; 0 – 14;Féminin;52
Région flamande;Anvers;Anvers;11050.0;2110.0;Wijnegem;15 – 64;Masculin;250
Région flamande;Anvers;Anvers;11050.0;2110.0;Wijnegem;15 – 64;Féminin;412
Région flamande;Anvers;Anvers;11050.0;2110.0;Wijnegem;65 – ...;Masculin;339
Région flamande;Anvers;Anvers;11050.0;2110.0;Wijnegem;65 – ...;Féminin;357
Région flamande;Anvers;Anvers;11052.0;2160.0;Wommelgem; 0 – 14;Masculin;83
Région flamande;Anvers;Anvers;11052.0;2160.0;Wommelgem; 0 – 14;Féminin;65
Région flamande;Anvers;Anvers;11052.0;2160.0;Wommelgem;15 – 64;Masculin;419
Région flamande;Anvers;Anvers;11052.0;2160.0;Wommelgem;15 – 64;Féminin;547
Région flamande;Anvers;Anvers;11052.0;2160.0;Wommelgem;65 – ...;Masculin;439
Région flamande;Anvers;Anvers;11052.0;2160.0;Wommelgem;65 – ...;Féminin;483
Région flamande;Anvers;Anvers;11053.0;2990.0;Wuustwezel; 0 – 14;Masculin;141
Région flamande;Anvers;Anvers;11053.0;2990.0;Wuustwezel; 0 – 14;Féminin;127
Région flamande;Anvers;Anvers;11053.0;2990.0;Wuustwezel;15 – 64;Masculin;661
Région flamande;Anvers;Anvers;11053.0;2990.0;Wuustwezel;15 – 64;Féminin;934
Région flamande;Anvers;Anvers;11053.0;2990.0;Wuustwezel;65 – ...;Masculin;514
Région flamande;Anvers;Anvers;11053.0;2990.0;Wuustwezel;65 – ...;Féminin;502
Région flamande;Anvers;Anvers;11054.0;2240.0;Zandhoven; 0 – 14;Masculin;87
Région flamande;Anvers;Anvers;11054.0;2240.0;Zandhoven; 0 – 14;Féminin;74
Région flamande;Anvers;Anvers;11054.0;2240.0;Zandhoven;15 – 64;Masculin;407
Région flamande;Anvers;Anvers;11054.0;2240.0;Zandhoven;15 – 64;Féminin;504
Région flamande;Anvers;Anvers;11054.0;2240.0;Zandhoven;65 – ...;Masculin;382
Région flamande;Anvers;Anvers;11054.0;2240.0;Zandhoven;65 – ...;Féminin;427
Région flamande;Anvers;Anvers;11055.0;2980.0;Zoersel; 0 – 14;Masculin;169
Région flamande;Anvers;Anvers;11055.0;2980.0;Zoersel; 0 – 14;Féminin;162
Région flamande;Anvers;Anvers;11055.0;2980.0;Zoersel;15 – 64;Masculin;645
Région flamande;Anvers;Anvers;11055.0;2980.0;Zoersel;15 – 64;Féminin;879
Région flamande;Anvers;Anvers;11055.0;2980.0;Zoersel;65 – ...;Masculin;619
Région flamande;Anvers;Anvers;11055.0;2980.0;Zoersel;65 – ...;Féminin;684
Région flamande;Anvers;Anvers;11056.0;2070.0;Zwijndrecht; 0 – 14;Masculin;106
Région flamande;Anvers;Anvers;11056.0;2070.0;Zwijndrecht; 0 – 14;Féminin;91
Région flamande;Anvers;Anvers;11056.0;2070.0;Zwijndrecht;15 – 64;Masculin;672
Région flamande;Anvers;Anvers;11056.0;2070.0;Zwijndrecht;15 – 64;Féminin;921
Région flamande;Anvers;Anvers;11056.0;2070.0;Zwijndrecht;65 – ...;Masculin;579
Région flamande;Anvers;Anvers;11056.0;2070.0;Zwijndrecht;65 – ...;Féminin;653
Région flamande;Anvers;Anvers;11057.0;2390.0;Malle; 0 – 14;Masculin;137
Région flamande;Anvers;Anvers;11057.0;2390.0;Malle; 0 – 14;Féminin;108
Région flamande;Anvers;Anvers;11057.0;2390.0;Malle;15 – 64;Masculin;485
Région flamande;Anvers;Anvers;11057.0;2390.0;Malle;15 – 64;Féminin;662
Région flamande;Anvers;Anvers;11057.0;2390.0;Malle;65 – ...;Masculin;433
Région flamande;Anvers;Anvers;11057.0;2390.0;Malle;65 – ...;Féminin;538
Région flamande;Anvers;Malines;12002.0;2590.0;Berlaar; 0 – 14;Masculin;71
