région;province_ou_région_de_bruxelles-capitale;arrondissement;code_ins;code_postal;commune;classe_d_âge;sexe;hospitalisation_classique
Région flamande;Anvers;Anvers;11056;2070;Zwijndrecht;65 - ...;Masculin;611
Région flamande;Anvers;Anvers;11056;2070;Zwijndrecht;65 - ...;Féminin;578
Région flamande;Anvers;Anvers;11057;2390;Malle;0 - 14;Masculin;83
Région flamande;Anvers;Anvers;11057;2390;Malle;0 - 14;Féminin;86
Région flamande;Anvers;Anvers;11057;2390;Malle;15 - 64;Masculin;417
Région flamande;Anvers;Anvers;11057;2390;Malle;15 - 64;Féminin;546
Région flamande;Anvers;Anvers;11057;2390;Malle;65 - ...;Masculin;465
Région flamande;Anvers;Anvers;11057;2390;Malle;65 - ...;Féminin;455
Région flamande;Anvers;Malines;12002;2590;Berlaar;0 - 14;Masculin;56
Région flamande;Anvers;Malines;12002;2590;Berlaar;0 - 14;Féminin;35
Région flamande;Anvers;Malines;12002;2590;Berlaar;15 - 64;Masculin;278
Région flamande;Anvers;Malines;12002;2590;Berlaar;15 - 64;Féminin;382
Région flamande;Anvers;Malines;12002;2590;Berlaar;65 - ...;Masculin;374
Région flamande;Anvers;Malines;12002;2590;Berlaar;65 - ...;Féminin;389
Région flamande;Anvers;Malines;12005;2820;Bonheiden;0 - 14;Masculin;67
Région flamande;Anvers;Malines;12005;2820;Bonheiden;0 - 14;Féminin;60
Région flamande;Anvers;Malines;12005;2820;Bonheiden;15 - 64;Masculin;345
Région flamande;Anvers;Malines;12005;2820;Bonheiden;15 - 64;Féminin;462
Région flamande;Anvers;Malines;12005;2820;Bonheiden;65 - ...;Masculin;556
Région flamande;Anvers;Malines;12005;2820;Bonheiden;65 - ...;Féminin;609
Région flamande;Anvers;Malines;12007;2880;Bornem;0 - 14;Masculin;71
Région flamande;Anvers;Malines;12007;2880;Bornem;0 - 14;Féminin;59
Région flamande;Anvers;Malines;12007;2880;Bornem;15 - 64;Masculin;557
Région flamande;Anvers;Malines;12007;2880;Bornem;15 - 64;Féminin;797
Région flamande;Anvers;Malines;12007;2880;Bornem;65 - ...;Masculin;730
Région flamande;Anvers;Malines;12007;2880;Bornem;65 - ...;Féminin;621
Région flamande;Anvers;Malines;12009;2570;Duffel;0 - 14;Masculin;59
Région flamande;Anvers;Malines;12009;2570;Duffel;0 - 14;Féminin;59
Région flamande;Anvers;Malines;12009;2570;Duffel;15 - 64;Masculin;455
Région flamande;Anvers;Malines;12009;2570;Duffel;15 - 64;Féminin;648
Région flamande;Anvers;Malines;12009;2570;Duffel;65 - ...;Masculin;581
Région flamande;Anvers;Malines;12009;2570;Duffel;65 - ...;Féminin;613
Région flamande;Anvers;Malines;12014;2220;Heist-op-den-Berg;0 - 14;Masculin;220
Région flamande;Anvers;Malines;12014;2220;Heist-op-den-Berg;0 - 14;Féminin;219
Région flamande;Anvers;Malines;12014;2220;Heist-op-den-Berg;15 - 64;Masculin;1050
Région flamande;Anvers;Malines;12014;2220;Heist-op-den-Berg;15 - 64;Féminin;1533
Région flamande;Anvers;Malines;12014;2220;Heist-op-den-Berg;65 - ...;Masculin;1479
Région flamande;Anvers;Malines;12014;2220;Heist-op-den-Berg;65 - ...;Féminin;1469
Région flamande;Anvers;Malines;12021;2500;Lierre;0 - 14;Masculin;230
Région flamande;Anvers;Malines;12021;2500;Lierre;0 - 14;Féminin;188
Région flamande;Anvers;Malines;12021;2500;Lierre;15 - 64;Masculin;895
Région flamande;Anvers;Malines;12021;2500;Lierre;15 - 64;Féminin;1333
Région flamande;Anvers;Malines;12021;2500;Lierre;65 - ...;Masculin;1001
Région flamande;Anvers;Malines;12021;2500;Lierre;65 - ...;Féminin;1064
Région flamande;Anvers;Malines;12025;2800;Malines;0 - 14;Masculin;556
Région flamande;Anvers;Malines;12025;2800;Malines;0 - 14;Féminin;461
Région flamande;Anvers;Malines;12025;2800;Malines;15 - 64;Masculin;2214
Région flamande;Anvers;Malines;12025;2800;Malines;15 - 64;Féminin;3394
Région flamande;Anvers;Malines;12025;2800;Malines;65 - ...;Masculin;2389
Région flamande;Anvers;Malines;12025;2800;Malines;65 - ...;Féminin;2546
Région flamande;Anvers;Malines;12026;2560;Nijlen;0 - 14;Masculin;111
Région flamande;Anvers;Malines;12026;2560;Nijlen;0 - 14;Féminin;128
Région flamande;Anvers;Malines;12026;2560;Nijlen;15 - 64;Masculin;524
Région flamande;Anvers;Malines;12026;2560;Nijlen;15 - 64;Féminin;744
Région flamande;Anvers;Malines;12026;2560;Nijlen;65 - ...;Masculin;680
Région flamande;Anvers;Malines;12026;2560;Nijlen;65 - ...;Féminin;670
Région flamande;Anvers;Malines;12029;2580;Putte;0 - 14;Masculin;91
Région flamande;Anvers;Malines;12029;2580;Putte;0 - 14;Féminin;78
Région flamande;Anvers;Malines;12029;2580;Putte;15 - 64;Masculin;458
Région flamande;Anvers;Malines;12029;2580;Putte;15 - 64;Féminin;588
Région flamande;Anvers;Malines;12029;2580;Putte;65 - ...;Masculin;599
Région flamande;Anvers;Malines;12029;2580;Putte;65 - ...;Féminin;637
