gewest;provincie_of_brussels_hoofdstedelijk_gewest;arrondissement;nis_code;postcode;gemeente;leeftijdsgroep;geslacht;daghospitalisatie
Vlaams Gewest;Antwerpen;Antwerpen;11024;2550;Kontich;65 - ...;Mannelijk;1.240
Vlaams Gewest;Antwerpen;Antwerpen;11024;2550;Kontich;65 - ...;Vrouwelijk;1.312
Vlaams Gewest;Antwerpen;Antwerpen;11025;2547;Lint;0 - 14;Mannelijk;57
Vlaams Gewest;Antwerpen;Antwerpen;11025;2547;Lint;0 - 14;Vrouwelijk;84
Vlaams Gewest;Antwerpen;Antwerpen;11025;2547;Lint;15 - 64;Mannelijk;665
Vlaams Gewest;Antwerpen;Antwerpen;11025;2547;Lint;15 - 64;Vrouwelijk;1.126
Vlaams Gewest;Antwerpen;Antwerpen;11025;2547;Lint;65 - ...;Mannelijk;433
Vlaams Gewest;Antwerpen;Antwerpen;11025;2547;Lint;65 - ...;Vrouwelijk;509
Vlaams Gewest;Antwerpen;Antwerpen;11029;2640;Mortsel;0 - 14;Mannelijk;220
Vlaams Gewest;Antwerpen;Antwerpen;11029;2640;Mortsel;0 - 14;Vrouwelijk;140
Vlaams Gewest;Antwerpen;Antwerpen;11029;2640;Mortsel;15 - 64;Mannelijk;1.731
Vlaams Gewest;Antwerpen;Antwerpen;11029;2640;Mortsel;15 - 64;Vrouwelijk;2.401
Vlaams Gewest;Antwerpen;Antwerpen;11029;2640;Mortsel;65 - ...;Mannelijk;1.220
Vlaams Gewest;Antwerpen;Antwerpen;11029;2640;Mortsel;65 - ...;Vrouwelijk;1.584
Vlaams Gewest;Antwerpen;Antwerpen;11030;2845;Niel;0 - 14;Mannelijk;115
Vlaams Gewest;Antwerpen;Antwerpen;11030;2845;Niel;0 - 14;Vrouwelijk;87
Vlaams Gewest;Antwerpen;Antwerpen;11030;2845;Niel;15 - 64;Mannelijk;843
Vlaams Gewest;Antwerpen;Antwerpen;11030;2845;Niel;15 - 64;Vrouwelijk;1.261
Vlaams Gewest;Antwerpen;Antwerpen;11030;2845;Niel;65 - ...;Mannelijk;559
Vlaams Gewest;Antwerpen;Antwerpen;11030;2845;Niel;65 - ...;Vrouwelijk;554
Vlaams Gewest;Antwerpen;Antwerpen;11035;2520;Ranst;0 - 14;Mannelijk;145
Vlaams Gewest;Antwerpen;Antwerpen;11035;2520;Ranst;0 - 14;Vrouwelijk;81
Vlaams Gewest;Antwerpen;Antwerpen;11035;2520;Ranst;15 - 64;Mannelijk;1.587
Vlaams Gewest;Antwerpen;Antwerpen;11035;2520;Ranst;15 - 64;Vrouwelijk;1.948
Vlaams Gewest;Antwerpen;Antwerpen;11035;2520;Ranst;65 - ...;Mannelijk;1.320
Vlaams Gewest;Antwerpen;Antwerpen;11035;2520;Ranst;65 - ...;Vrouwelijk;1.231
Vlaams Gewest;Antwerpen;Antwerpen;11037;2840;Rumst;0 - 14;Mannelijk;112
Vlaams Gewest;Antwerpen;Antwerpen;11037;2840;Rumst;0 - 14;Vrouwelijk;92
Vlaams Gewest;Antwerpen;Antwerpen;11037;2840;Rumst;15 - 64;Mannelijk;1.153
Vlaams Gewest;Antwerpen;Antwerpen;11037;2840;Rumst;15 - 64;Vrouwelijk;1.544
Vlaams Gewest;Antwerpen;Antwerpen;11037;2840;Rumst;65 - ...;Mannelijk;955
Vlaams Gewest;Antwerpen;Antwerpen;11037;2840;Rumst;65 - ...;Vrouwelijk;962
Vlaams Gewest;Antwerpen;Antwerpen;11038;2627;Schelle;0 - 14;Mannelijk;86
Vlaams Gewest;Antwerpen;Antwerpen;11038;2627;Schelle;0 - 14;Vrouwelijk;55
Vlaams Gewest;Antwerpen;Antwerpen;11038;2627;Schelle;15 - 64;Mannelijk;667
Vlaams Gewest;Antwerpen;Antwerpen;11038;2627;Schelle;15 - 64;Vrouwelijk;1.136
Vlaams Gewest;Antwerpen;Antwerpen;11038;2627;Schelle;65 - ...;Mannelijk;526
Vlaams Gewest;Antwerpen;Antwerpen;11038;2627;Schelle;65 - ...;Vrouwelijk;505
