région;province;arrondissement;code_ins;code_postal;commune;classe_d_âge;sexe;hospitalisation_de_jour
Région flamande;Anvers;Anvers;11018;2620;Hemiksem;15 - 64;Masculin;970
Région flamande;Anvers;Anvers;11018;2620;Hemiksem;15 - 64;Féminin;1 295
Région flamande;Anvers;Anvers;11018;2620;Hemiksem;15 - 64;Changé;0
Région flamande;Anvers;Anvers;11018;2620;Hemiksem;65 - ...;Indéfinissable;0
Région flamande;Anvers;Anvers;11018;2620;Hemiksem;65 - ...;Masculin;618
Région flamande;Anvers;Anvers;11018;2620;Hemiksem;65 - ...;Féminin;519
Région flamande;Anvers;Anvers;11018;2620;Hemiksem;65 - ...;Changé;0
Région flamande;Anvers;Anvers;11021;2540;Hove;0 - 14;Indéfinissable;0
Région flamande;Anvers;Anvers;11021;2540;Hove;0 - 14;Masculin;59
Région flamande;Anvers;Anvers;11021;2540;Hove;0 - 14;Féminin;31
Région flamande;Anvers;Anvers;11021;2540;Hove;0 - 14;Changé;0
Région flamande;Anvers;Anvers;11021;2540;Hove;15 - 64;Indéfinissable;0
Région flamande;Anvers;Anvers;11021;2540;Hove;15 - 64;Masculin;449
Région flamande;Anvers;Anvers;11021;2540;Hove;15 - 64;Féminin;889
Région flamande;Anvers;Anvers;11021;2540;Hove;15 - 64;Changé;0
Région flamande;Anvers;Anvers;11021;2540;Hove;65 - ...;Indéfinissable;0
Région flamande;Anvers;Anvers;11021;2540;Hove;65 - ...;Masculin;531
Région flamande;Anvers;Anvers;11021;2540;Hove;65 - ...;Féminin;557
Région flamande;Anvers;Anvers;11021;2540;Hove;65 - ...;Changé;0
Région flamande;Anvers;Anvers;11022;2920;Kalmthout;0 - 14;Indéfinissable;0
Région flamande;Anvers;Anvers;11022;2920;Kalmthout;0 - 14;Masculin;77
Région flamande;Anvers;Anvers;11022;2920;Kalmthout;0 - 14;Féminin;142
Région flamande;Anvers;Anvers;11022;2920;Kalmthout;0 - 14;Changé;0
Région flamande;Anvers;Anvers;11022;2920;Kalmthout;15 - 64;Indéfinissable;0
Région flamande;Anvers;Anvers;11022;2920;Kalmthout;15 - 64;Masculin;1 168
Région flamande;Anvers;Anvers;11022;2920;Kalmthout;15 - 64;Féminin;1 524
Région flamande;Anvers;Anvers;11022;2920;Kalmthout;15 - 64;Changé;0
Région flamande;Anvers;Anvers;11022;2920;Kalmthout;65 - ...;Indéfinissable;0
Région flamande;Anvers;Anvers;11022;2920;Kalmthout;65 - ...;Masculin;1 153
Région flamande;Anvers;Anvers;11022;2920;Kalmthout;65 - ...;Féminin;1 394
Région flamande;Anvers;Anvers;11022;2920;Kalmthout;65 - ...;Changé;0
Région flamande;Anvers;Anvers;11023;2950;Kapellen (Anvers);0 - 14;Indéfinissable;0
Région flamande;Anvers;Anvers;11023;2950;Kapellen (Anvers);0 - 14;Masculin;194
Région flamande;Anvers;Anvers;11023;2950;Kapellen (Anvers);0 - 14;Féminin;112
Région flamande;Anvers;Anvers;11023;2950;Kapellen (Anvers);0 - 14;Changé;0
Région flamande;Anvers;Anvers;11023;2950;Kapellen (Anvers);15 - 64;Indéfinissable;0
Région flamande;Anvers;Anvers;11023;2950;Kapellen (Anvers);15 - 64;Masculin;1 687
Région flamande;Anvers;Anvers;11023;2950;Kapellen (Anvers);15 - 64;Féminin;2 286
Région flamande;Anvers;Anvers;11023;2950;Kapellen (Anvers);15 - 64;Changé;0
Région flamande;Anvers;Anvers;11023;2950;Kapellen (Anvers);65 - ...;Indéfinissable;0
Région flamande;Anvers;Anvers;11023;2950;Kapellen (Anvers);65 - ...;Masculin;2 094
Région flamande;Anvers;Anvers;11023;2950;Kapellen (Anvers);65 - ...;Féminin;1 872
