gewest;provincie;arrondissement;nis_code;postcode;gemeente;leeftijdsgroep;geslacht;klassieke_hospitalisatie
Vlaams Gewest;Antwerpen;Antwerpen;11013;2650;Edegem;0 - 14;Veranderd;0
Vlaams Gewest;Antwerpen;Antwerpen;11013;2650;Edegem;15 - 64;Onbepaalbaar;0
Vlaams Gewest;Antwerpen;Antwerpen;11013;2650;Edegem;15 - 64;Mannelijk;507
Vlaams Gewest;Antwerpen;Antwerpen;11013;2650;Edegem;15 - 64;Vrouwelijk;817
Vlaams Gewest;Antwerpen;Antwerpen;11013;2650;Edegem;15 - 64;Veranderd;< 5
Vlaams Gewest;Antwerpen;Antwerpen;11013;2650;Edegem;65 - ...;Onbepaalbaar;0
Vlaams Gewest;Antwerpen;Antwerpen;11013;2650;Edegem;65 - ...;Mannelijk;714
Vlaams Gewest;Antwerpen;Antwerpen;11013;2650;Edegem;65 - ...;Vrouwelijk;863
Vlaams Gewest;Antwerpen;Antwerpen;11013;2650;Edegem;65 - ...;Veranderd;0
Vlaams Gewest;Antwerpen;Antwerpen;11016;2910;Essen;0 - 14;Onbepaalbaar;0
Vlaams Gewest;Antwerpen;Antwerpen;11016;2910;Essen;0 - 14;Mannelijk;94
Vlaams Gewest;Antwerpen;Antwerpen;11016;2910;Essen;0 - 14;Vrouwelijk;77
Vlaams Gewest;Antwerpen;Antwerpen;11016;2910;Essen;0 - 14;Veranderd;0
Vlaams Gewest;Antwerpen;Antwerpen;11016;2910;Essen;15 - 64;Onbepaalbaar;0
Vlaams Gewest;Antwerpen;Antwerpen;11016;2910;Essen;15 - 64;Mannelijk;560
Vlaams Gewest;Antwerpen;Antwerpen;11016;2910;Essen;15 - 64;Vrouwelijk;687
Vlaams Gewest;Antwerpen;Antwerpen;11016;2910;Essen;15 - 64;Veranderd;< 5
Vlaams Gewest;Antwerpen;Antwerpen;11016;2910;Essen;65 - ...;Onbepaalbaar;0
Vlaams Gewest;Antwerpen;Antwerpen;11016;2910;Essen;65 - ...;Mannelijk;532
Vlaams Gewest;Antwerpen;Antwerpen;11016;2910;Essen;65 - ...;Vrouwelijk;489
Vlaams Gewest;Antwerpen;Antwerpen;11016;2910;Essen;65 - ...;Veranderd;0
Vlaams Gewest;Antwerpen;Antwerpen;11018;2620;Hemiksem;0 - 14;Onbepaalbaar;0
Vlaams Gewest;Antwerpen;Antwerpen;11018;2620;Hemiksem;0 - 14;Mannelijk;84
Vlaams Gewest;Antwerpen;Antwerpen;11018;2620;Hemiksem;0 - 14;Vrouwelijk;63
Vlaams Gewest;Antwerpen;Antwerpen;11018;2620;Hemiksem;0 - 14;Veranderd;0
Vlaams Gewest;Antwerpen;Antwerpen;11018;2620;Hemiksem;15 - 64;Onbepaalbaar;0
Vlaams Gewest;Antwerpen;Antwerpen;11018;2620;Hemiksem;15 - 64;Mannelijk;320
Vlaams Gewest;Antwerpen;Antwerpen;11018;2620;Hemiksem;15 - 64;Vrouwelijk;531
Vlaams Gewest;Antwerpen;Antwerpen;11018;2620;Hemiksem;15 - 64;Veranderd;0
Vlaams Gewest;Antwerpen;Antwerpen;11018;2620;Hemiksem;65 - ...;Onbepaalbaar;0
Vlaams Gewest;Antwerpen;Antwerpen;11018;2620;Hemiksem;65 - ...;Mannelijk;312
Vlaams Gewest;Antwerpen;Antwerpen;11018;2620;Hemiksem;65 - ...;Vrouwelijk;288
Vlaams Gewest;Antwerpen;Antwerpen;11018;2620;Hemiksem;65 - ...;Veranderd;0
Vlaams Gewest;Antwerpen;Antwerpen;11021;2540;Hove;0 - 14;Onbepaalbaar;0
Vlaams Gewest;Antwerpen;Antwerpen;11021;2540;Hove;0 - 14;Mannelijk;29
Vlaams Gewest;Antwerpen;Antwerpen;11021;2540;Hove;0 - 14;Vrouwelijk;23
Vlaams Gewest;Antwerpen;Antwerpen;11021;2540;Hove;0 - 14;Veranderd;0
Vlaams Gewest;Antwerpen;Antwerpen;11021;2540;Hove;15 - 64;Onbepaalbaar;0
Vlaams Gewest;Antwerpen;Antwerpen;11021;2540;Hove;15 - 64;Mannelijk;173
