région;province_ou_région_de_bruxelles-capitale;arrondissement;code_ins;code_postal;commune;classe_d_âge;sexe;hospita-_lisation_de_jour
Région flamande;Anvers;Anvers;11039;2970;Schilde;65 - ...;Féminin;1238
Région flamande;Anvers;Anvers;11040;2900;Schoten;0 - 14;Masculin;167
Région flamande;Anvers;Anvers;11040;2900;Schoten;0 - 14;Féminin;149
Région flamande;Anvers;Anvers;11040;2900;Schoten;15 - 64;Masculin;2209
Région flamande;Anvers;Anvers;11040;2900;Schoten;15 - 64;Féminin;2809
Région flamande;Anvers;Anvers;11040;2900;Schoten;65 - ...;Masculin;2252
Région flamande;Anvers;Anvers;11040;2900;Schoten;65 - ...;Féminin;2325
Région flamande;Anvers;Anvers;11044;2940;Stabroek;0 - 14;Masculin;78
Région flamande;Anvers;Anvers;11044;2940;Stabroek;0 - 14;Féminin;67
Région flamande;Anvers;Anvers;11044;2940;Stabroek;15 - 64;Masculin;1289
Région flamande;Anvers;Anvers;11044;2940;Stabroek;15 - 64;Féminin;1894
Région flamande;Anvers;Anvers;11044;2940;Stabroek;65 - ...;Masculin;1215
Région flamande;Anvers;Anvers;11044;2940;Stabroek;65 - ...;Féminin;971
Région flamande;Anvers;Anvers;11050;2110;Wijnegem;0 - 14;Masculin;43
Région flamande;Anvers;Anvers;11050;2110;Wijnegem;0 - 14;Féminin;34
Région flamande;Anvers;Anvers;11050;2110;Wijnegem;15 - 64;Masculin;547
Région flamande;Anvers;Anvers;11050;2110;Wijnegem;15 - 64;Féminin;940
Région flamande;Anvers;Anvers;11050;2110;Wijnegem;65 - ...;Masculin;680
Région flamande;Anvers;Anvers;11050;2110;Wijnegem;65 - ...;Féminin;492
Région flamande;Anvers;Anvers;11052;2160;Wommelgem;0 - 14;Masculin;73
Région flamande;Anvers;Anvers;11052;2160;Wommelgem;0 - 14;Féminin;70
Région flamande;Anvers;Anvers;11052;2160;Wommelgem;15 - 64;Masculin;934
Région flamande;Anvers;Anvers;11052;2160;Wommelgem;15 - 64;Féminin;1244
Région flamande;Anvers;Anvers;11052;2160;Wommelgem;65 - ...;Masculin;903
Région flamande;Anvers;Anvers;11052;2160;Wommelgem;65 - ...;Féminin;735
Région flamande;Anvers;Anvers;11053;2990;Wuustwezel;0 - 14;Masculin;143
Région flamande;Anvers;Anvers;11053;2990;Wuustwezel;0 - 14;Féminin;96
Région flamande;Anvers;Anvers;11053;2990;Wuustwezel;15 - 64;Masculin;1284
Région flamande;Anvers;Anvers;11053;2990;Wuustwezel;15 - 64;Féminin;1700
Région flamande;Anvers;Anvers;11053;2990;Wuustwezel;65 - ...;Masculin;1075
Région flamande;Anvers;Anvers;11053;2990;Wuustwezel;65 - ...;Féminin;955
Région flamande;Anvers;Anvers;11054;2240;Zandhoven;0 - 14;Masculin;60
Région flamande;Anvers;Anvers;11054;2240;Zandhoven;0 - 14;Féminin;115
Région flamande;Anvers;Anvers;11054;2240;Zandhoven;15 - 64;Masculin;980
Région flamande;Anvers;Anvers;11054;2240;Zandhoven;15 - 64;Féminin;1309
Région flamande;Anvers;Anvers;11054;2240;Zandhoven;65 - ...;Masculin;838
Région flamande;Anvers;Anvers;11054;2240;Zandhoven;65 - ...;Féminin;872
Région flamande;Anvers;Anvers;11055;2980;Zoersel;0 - 14;Masculin;94
Région flamande;Anvers;Anvers;11055;2980;Zoersel;0 - 14;Féminin;94
Région flamande;Anvers;Anvers;11055;2980;Zoersel;15 - 64;Masculin;1423
Région flamande;Anvers;Anvers;11055;2980;Zoersel;15 - 64;Féminin;2309
Région flamande;Anvers;Anvers;11055;2980;Zoersel;65 - ...;Masculin;1959
Région flamande;Anvers;Anvers;11055;2980;Zoersel;65 - ...;Féminin;1683
Région flamande;Anvers;Anvers;11056;2070;Zwijndrecht;0 - 14;Masculin;131
Région flamande;Anvers;Anvers;11056;2070;Zwijndrecht;0 - 14;Féminin;66
Région flamande;Anvers;Anvers;11056;2070;Zwijndrecht;15 - 64;Masculin;1293
Région flamande;Anvers;Anvers;11056;2070;Zwijndrecht;15 - 64;Féminin;1838
Région flamande;Anvers;Anvers;11056;2070;Zwijndrecht;65 - ...;Masculin;982
Région flamande;Anvers;Anvers;11056;2070;Zwijndrecht;65 - ...;Féminin;937
Région flamande;Anvers;Anvers;11057;2390;Malle;0 - 14;Masculin;71
Région flamande;Anvers;Anvers;11057;2390;Malle;0 - 14;Féminin;59
Région flamande;Anvers;Anvers;11057;2390;Malle;15 - 64;Masculin;1135
Région flamande;Anvers;Anvers;11057;2390;Malle;15 - 64;Féminin;1571
Région flamande;Anvers;Anvers;11057;2390;Malle;65 - ...;Masculin;1044
Région flamande;Anvers;Anvers;11057;2390;Malle;65 - ...;Féminin;1199
Région flamande;Anvers;Malines;12002;2590;Berlaar;0 - 14;Masculin;55
Région flamande;Anvers;Malines;12002;2590;Berlaar;0 - 14;Féminin;31
Région flamande;Anvers;Malines;12002;2590;Berlaar;15 - 64;Masculin;770
Région flamande;Anvers;Malines;12002;2590;Berlaar;15 - 64;Féminin;1210
Région flamande;Anvers;Malines;12002;2590;Berlaar;65 - ...;Masculin;863
Région flamande;Anvers;Malines;12002;2590;Berlaar;65 - ...;Féminin;748
Région flamande;Anvers;Malines;12005;2820;Bonheiden;0 - 14;Masculin;160
Région flamande;Anvers;Malines;12005;2820;Bonheiden;0 - 14;Féminin;100
Région flamande;Anvers;Malines;12005;2820;Bonheiden;15 - 64;Masculin;987
Région flamande;Anvers;Malines;12005;2820;Bonheiden;15 - 64;Féminin;1463
Région flamande;Anvers;Malines;12005;2820;Bonheiden;65 - ...;Masculin;1253
Région flamande;Anvers;Malines;12005;2820;Bonheiden;65 - ...;Féminin;1224
Région flamande;Anvers;Malines;12007;2880;Bornem;0 - 14;Masculin;105
Région flamande;Anvers;Malines;12007;2880;Bornem;0 - 14;Féminin;133
Région flamande;Anvers;Malines;12007;2880;Bornem;15 - 64;Masculin;1599
Région flamande;Anvers;Malines;12007;2880;Bornem;15 - 64;Féminin;2510
Région flamande;Anvers;Malines;12007;2880;Bornem;65 - ...;Masculin;1587
Région flamande;Anvers;Malines;12007;2880;Bornem;65 - ...;Féminin;1798
Région flamande;Anvers;Malines;12009;2570;Duffel;0 - 14;Masculin;95
Région flamande;Anvers;Malines;12009;2570;Duffel;0 - 14;Féminin;74
Région flamande;Anvers;Malines;12009;2570;Duffel;15 - 64;Masculin;1013
Région flamande;Anvers;Malines;12009;2570;Duffel;15 - 64;Féminin;1906
Région flamande;Anvers;Malines;12009;2570;Duffel;65 - ...;Masculin;1161
Région flamande;Anvers;Malines;12009;2570;Duffel;65 - ...;Féminin;1231
Région flamande;Anvers;Malines;12014;2220;Heist-op-den-Berg;0 - 14;Masculin;297
Région flamande;Anvers;Malines;12014;2220;Heist-op-den-Berg;0 - 14;Féminin;317
Région flamande;Anvers;Malines;12014;2220;Heist-op-den-Berg;15 - 64;Masculin;2608
Région flamande;Anvers;Malines;12014;2220;Heist-op-den-Berg;15 - 64;Féminin;4390
Région flamande;Anvers;Malines;12014;2220;Heist-op-den-Berg;65 - ...;Masculin;2817
Région flamande;Anvers;Malines;12014;2220;Heist-op-den-Berg;65 - ...;Féminin;2551
Région flamande;Anvers;Malines;12021;2500;Lierre;0 - 14;Masculin;257
Région flamande;Anvers;Malines;12021;2500;Lierre;0 - 14;Féminin;121
Région flamande;Anvers;Malines;12021;2500;Lierre;15 - 64;Masculin;2531
