région;province_ou_région_de_bruxelles-capitale;arrondissement;code_ins;code_postal;commune;classe_d_âge;sexe;hospita-_lisation_classique
Région flamande;Anvers;Malines;12021;2500;Lierre;15 - 64;Masculin;1.015
Région flamande;Anvers;Malines;12021;2500;Lierre;15 - 64;Féminin;1.584
Région flamande;Anvers;Malines;12021;2500;Lierre;65 - ...;Masculin;1.168
Région flamande;Anvers;Malines;12021;2500;Lierre;65 - ...;Féminin;1.227
Région flamande;Anvers;Malines;12025;2800;Malines;0 - 14;Masculin;736
Région flamande;Anvers;Malines;12025;2800;Malines;0 - 14;Féminin;666
Région flamande;Anvers;Malines;12025;2800;Malines;15 - 64;Masculin;2.552
Région flamande;Anvers;Malines;12025;2800;Malines;15 - 64;Féminin;4.170
Région flamande;Anvers;Malines;12025;2800;Malines;65 - ...;Masculin;2.599
Région flamande;Anvers;Malines;12025;2800;Malines;65 - ...;Féminin;2.866
Région flamande;Anvers;Malines;12026;2560;Nijlen;0 - 14;Masculin;169
Région flamande;Anvers;Malines;12026;2560;Nijlen;0 - 14;Féminin;122
Région flamande;Anvers;Malines;12026;2560;Nijlen;15 - 64;Masculin;625
Région flamande;Anvers;Malines;12026;2560;Nijlen;15 - 64;Féminin;949
Région flamande;Anvers;Malines;12026;2560;Nijlen;65 - ...;Masculin;738
Région flamande;Anvers;Malines;12026;2560;Nijlen;65 - ...;Féminin;720
Région flamande;Anvers;Malines;12029;2580;Putte;0 - 14;Masculin;146
Région flamande;Anvers;Malines;12029;2580;Putte;0 - 14;Féminin;98
Région flamande;Anvers;Malines;12029;2580;Putte;15 - 64;Masculin;548
Région flamande;Anvers;Malines;12029;2580;Putte;15 - 64;Féminin;669
Région flamande;Anvers;Malines;12029;2580;Putte;65 - ...;Masculin;641
Région flamande;Anvers;Malines;12029;2580;Putte;65 - ...;Féminin;708
Région flamande;Anvers;Malines;12030;2870;Puurs;0 - 14;Masculin;110
Région flamande;Anvers;Malines;12030;2870;Puurs;0 - 14;Féminin;56
Région flamande;Anvers;Malines;12030;2870;Puurs;15 - 64;Masculin;576
Région flamande;Anvers;Malines;12030;2870;Puurs;15 - 64;Féminin;685
Région flamande;Anvers;Malines;12030;2870;Puurs;65 - ...;Masculin;633
Région flamande;Anvers;Malines;12030;2870;Puurs;65 - ...;Féminin;581
Région flamande;Anvers;Malines;12034;2890;Sint-Amands;0 - 14;Masculin;52
Région flamande;Anvers;Malines;12034;2890;Sint-Amands;0 - 14;Féminin;35
Région flamande;Anvers;Malines;12034;2890;Sint-Amands;15 - 64;Masculin;254
Région flamande;Anvers;Malines;12034;2890;Sint-Amands;15 - 64;Féminin;347
Région flamande;Anvers;Malines;12034;2890;Sint-Amands;65 - ...;Masculin;292
Région flamande;Anvers;Malines;12034;2890;Sint-Amands;65 - ...;Féminin;328
Région flamande;Anvers;Malines;12035;2860;Sint-Katelijne-Waver;0 - 14;Masculin;116
Région flamande;Anvers;Malines;12035;2860;Sint-Katelijne-Waver;0 - 14;Féminin;110
Région flamande;Anvers;Malines;12035;2860;Sint-Katelijne-Waver;15 - 64;Masculin;567
